episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
57,2.232451388117003,1,0,18,1,0,1,3737,18,18,False,,-0.5489718263009422,1.5,12.979984591670359,12.979984591670359,8.653323061113573,17,148.8,169.17977446088264,20.37977446088263,0.049284106419494884,0.8924513881170034
58,1.7464203109126721,1,0,11,1,0,1,2299,11,11,False,,0.5612872090187778,1.5,12.97998459167036,12.979984591670362,10.38398767333629,10,400.79999999999995,415.1843580789855,14.384358078985542,0.0496420689647131,0.5464203109126721
59,1.815529309277293,1,0,12,1,0,1,2614,12,12,False,,-0.6325484685561762,2.0,12.97998459167036,12.97998459167036,9.569883039746728,11,48.0,71.88697775810601,23.886977758106013,0.049019144813791105,0.5955293092772931
60,2.165507684879716,1,0,17,1,0,1,3464,17,17,False,,0.5936032018500328,1.5,12.97998459167036,12.97998459167036,10.383987673336287,16,552.0,559.7031400073547,7.703140007354705,0.04989708805774612,0.8455076848797158
61,2.9979087228630594,1,0,29,1,0,1,5692,29,29,False,,-0.5792775535312075,1.5,12.97998459167036,12.97998459167036,10.38398767333629,28,148.8,132.9566189559987,15.843381044001319,0.04956610761159032,1.4379087228630592
62,3.000602171695986,1,0,29,1,0,1,5865,29,29,False,,-0.5807545231572704,1.5,12.97998459167036,12.97998459167036,10.383987673336287,28,148.8,128.64014123374636,20.15985876625365,0.0492993651239164,1.4406021716959854
63,1.953158511557124,1,0,14,1,0,1,2801,14,14,False,,0.705529282294853,2.0,12.97998459167036,12.979984591670359,9.968628166402839,13,48.0,45.067363603942795,2.9326363960572053,0.04998507105516469,0.6931585115571243
64,1.1874889556337695,1,0,3,1,0,1,656,3,3,False,,-0.7669850826469442,2.0,12.97998459167036,12.97998459167036,8.653323061113573,2,400.79999999999995,382.0933867562778,18.70661324372213,0.04939614585343076,0.14748895563376974
65,1.8155850042346313,1,0,12,1,0,1,2547,12,12,False,,0.6145061811937836,2.0,12.97998459167036,12.979984591670359,7.211102550927978,11,451.20000000000005,471.8041995053784,20.604199505378347,0.04926836911174926,0.5955850042346311
66,1.258170578193751,1,0,4,1,0,1,759,4,4,False,,-0.5245251228474797,1.5,12.97998459167036,12.97998459167036,10.38398767333629,3,48.0,34.929914581123285,13.070085418876715,0.049704302946709626,0.19817057819375106
67,1.9522057779321198,1,0,14,1,0,1,2740,14,14,False,,0.601688295224811,2.0,12.97998459167036,12.97998459167036,10.38398767333629,13,552.0,583.9504018733928,31.95040187339282,0.048258770462780896,0.6922057779321201
68,1.3280722499652442,1,0,5,1,0,1,995,5,5,False,,0.586763348273783,1.5,12.97998459167036,12.97998459167036,10.38398767333629,4,501.6,489.0159486162661,12.584051383733936,0.04972582677924989,0.2480722499652442
69,1.048409797757505,1,0,1,1,0,1,217,1,1,False,,0.9500789120654304,2.0,12.647115723818374,12.647115723818374,7.211102550927978,0,48.0,17.49035495850103,30.50964504149897,0.04840979775750519,0.04840979775750519
70,1.4670632782401853,1,0,7,1,0,1,1608,7,7,False,,-0.6212851097231848,2.0,12.97998459167036,12.97998459167036,7.211102550927978,6,48.0,71.97290261196804,23.97290261196804,0.049012145867717107,0.3470632782401854
71,1.1887823995865234,1,0,3,1,0,1,713,3,3,False,,-0.6210126053467121,2.0,12.97998459167036,12.97998459167036,7.211102550927978,2,98.4,108.0743129175894,9.67431291758939,0.04983777704869223,0.1487823995865235
72,1.6060971679431681,1,0,9,1,0,1,1973,9,9,False,,0.57327452435662,1.5,12.460785208003546,12.460785208003546,8.307190138669029,8,501.6,520.8071782992863,19.207178299286284,0.0493636060266158,0.4460971679431681
