episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
59,-0.9981814100097818,0,1,1,0,1,-1,353,1,1,False,,0.08013332660319605,1.0,6.6189246318761805,7.211102550927978,7.211102550927978,0,199.2,508.1370360043162,308.9370360043162,0.0018185899902182308,0.0018185899902182308
60,-0.9554873231180189,0,1,1,0,1,-1,342,1,1,False,,0.051298455610908886,1.0,7.1824224175181,7.211102550927979,7.211102550927978,0,501.6,559.4616514842501,57.86165148425005,0.044512676881981135,0.044512676881981135
61,-0.9722611128309178,0,1,1,0,1,-1,292,1,1,False,,0.273277458916516,1.5,10.410297139967938,8.328237711974351,8.328237711974351,0,199.2,68.93639808009857,130.26360191990142,0.027738887169082235,0.027738887169082235
62,-0.9616181605672968,0,1,1,0,1,-1,368,1,1,False,,-0.1901151257417979,1.0,6.21085801651015,7.211102550927978,7.211102550927978,0,249.60000000000002,162.3312692467416,87.26873075325841,0.038381839432703235,0.038381839432703235
63,-0.9870367393549165,0,1,1,0,1,-1,346,1,1,False,,0.060863142299132277,1.0,6.9794417428083415,7.2111025509279765,7.211102550927978,0,350.4,547.5730917014432,197.17309170144324,0.012963260645083411,0.012963260645083411
64,-0.9984285982197733,0,1,1,0,1,-1,349,1,1,False,,0.06957540539124807,1.0,6.808008862271817,7.211102550927978,7.211102550927978,0,199.2,514.8732202870219,315.67322028702193,0.0015714017802267504,0.0015714017802267504
65,-0.9771038510169038,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,148.8,298.7812092889419,149.9812092889419,0.02289614898309618,0.02289614898309618
66,-0.9972778376605971,0,1,1,0,1,-1,306,1,1,False,,0.2056197955275323,1.5,9.598792734312372,7.679034187449898,7.679034187449898,0,98.4,387.9257814787977,289.52578147879774,0.0027221623394029313,0.0027221623394029313
67,1.0963446118712037,1,0,2,1,0,1,499,2,2,False,,0.9559601801619706,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,501.6,375.5402608703189,126.05973912968113,0.028796393802994764,0.07634461187120385
68,-0.976575357304788,0,1,1,0,1,-1,285,1,1,False,,-0.2468488893433225,1.5,10.712933609489355,8.570346887591484,8.570346887591484,0,249.60000000000002,397.37398823915976,147.77398823915973,0.0234246426952121,0.0234246426952121
69,1.048409797757505,1,0,1,1,0,1,217,1,1,False,,0.9500789120654304,2.0,12.647115723818374,12.647115723818374,7.211102550927978,0,48.0,17.49035495850103,30.50964504149897,0.04840979775750519,0.04840979775750519
70,-0.9877510996662154,0,1,1,0,1,-1,367,1,1,False,,0.19443910111653223,1.0,6.257773879973014,7.211102550927979,7.211102550927978,0,98.4,299.670218921628,201.27021892162801,0.012248900333784611,0.012248900333784611
