policy,episodes,mean_reward,win_rate,loss_rate,mean_score_diff,mean_steps,mean_rally_hits,truncation_rate,mean_final_hit_offset,mean_final_speed_multiplier,mean_final_outgoing_speed,mean_final_ball_speed,mean_last_left_outgoing_speed,mean_successful_agent_returns,mean_final_target_alignment_error,mean_final_target_alignment_reward,mean_cumulative_target_alignment_reward,timesteps
ppo_eval,100,0.7890528605528084,0.79,0.21,0.58,3.34,3.34,0.0,0.0089888543591798,1.85,12.363535963062535,12.057407037718496,8.634699945494685,2.34,33.28778373638245,0.0475401514052152,0.1622528605528083,390000
ppo_eval,100,0.847564691232102,0.82,0.18,0.64,3.32,3.32,0.0,0.072950767047587,1.86,12.371962968025311,12.14202854923874,8.676631729913433,2.32,33.35084608128663,0.0475387827071307,0.1611646912321018,400000
ppo_eval,100,0.8024657759579945,0.8,0.2,0.6,3.25,3.25,0.0,0.0927042615192021,1.85,12.337375876497145,12.062438937649524,8.693860687482266,2.25,35.24691988219246,0.0472976202494937,0.1574657759579945,410000
ppo_eval,100,0.8427344321422627,0.82,0.18,0.64,3.25,3.25,0.0,0.1386584603884138,1.86,12.385169270715322,12.152593591390742,8.639071838649928,2.25,33.539484161291455,0.047551057302919,0.1577344321422627,420000
ppo_eval,100,0.8470559794545244,0.82,0.18,0.64,3.31,3.31,0.0,0.1251479522657966,1.86,12.385169270715322,12.152593591390742,8.637802684600963,2.31,32.184485810826374,0.0476779650467184,0.1608559794545243,430000
ppo_eval,100,0.8470529943338019,0.82,0.18,0.64,3.31,3.31,0.0,0.1251479522657966,1.86,12.385169270715322,12.152593591390742,8.637802684600963,2.31,32.20311701566457,0.047674979925996,0.1608529943338018,440000
ppo_eval,100,0.8207493325037092,0.81,0.19,0.62,3.22,3.22,0.0,0.137590479087081,1.86,12.385169270715322,12.1266336222074,8.6419562796703,2.22,32.56701044678789,0.0476422495118362,0.1563493325037092,450000
ppo_eval,100,0.8648013717649384,0.83,0.17,0.66,3.28,3.28,0.0,0.1483950149920894,1.865,12.385169270715322,12.178553560574082,8.652224889702822,2.28,33.04770476657568,0.0475570317467347,0.1592013717649382,460000
ppo_eval,100,0.8441286922400204,0.82,0.18,0.64,3.27,3.27,0.0,0.1408769150276152,1.86,12.385169270715322,12.152593591390742,8.675468889336601,2.27,32.92429896589319,0.0475889862972369,0.1587286922400202,470000
ppo_eval,100,0.8455946685734781,0.82,0.18,0.64,3.29,3.29,0.0,0.1398910835655527,1.86,12.385169270715322,12.152593591390742,8.6419562796703,2.29,32.55421502632663,0.0476340625410176,0.1597946685734781,480000
ppo_eval,100,0.8656242825474433,0.83,0.17,0.66,3.29,3.29,0.0,0.1350212756392104,1.865,12.385169270715322,12.178553560574082,8.637802684600963,2.29,32.15083332020684,0.0476841871544546,0.1598242825474431,490000
ppo_eval,100,0.8048274072454872,0.8,0.2,0.6,3.28,3.28,0.0,0.1075090571492421,1.855,12.363535963062535,12.083367006901836,8.656378484772155,2.28,33.82858739224263,0.0474896715187402,0.1592274072454871,500000
